subject_id,subject_name,subject_short_name,level,code,category_id,category_name,,KEY,
,English Language,ENG,O,112,8,ENGLISH LANGUAGE,,1,GENERAL PAPER
,Literature in English,LIT,O,208,2,HUMANITIES,,2,HUMANITIES
,Fasihi ya Kiswahili,SWA,O,218,2,HUMANITIES,,3,LANGUAGES
,Christian Religious Education,CRE,O,223,2,HUMANITIES,,4,MATHEMATICAL SUBJECTS
,Christian Religious Education,CR.E,O,224,2,HUMANITIES,,5,SCIENCE SUBJECTS
,Islamic Religious Education,IRE,O,225,2,HUMANITIES,,6,CULTURAL SUBJECTS AND OTHERS
,History,HIS,O,241,2,HUMANITIES,,7,TECHNICAL SUBJECTS
,Geography,GEO,O,273,2,HUMANITIES,,8,ENGLISH LANGUAGE
,Political Education,POL,O,285,2,HUMANITIES,,9,BUSINESS STUDIES
,Latin,LAT,O,301,3,LANGUAGES,,,
,German,GER,O,309,3,LANGUAGES,,,
,French,FRE,O,314,3,LANGUAGES,,,
,Luganda,LUG,O,335,3,LANGUAGES,,,
,Lugha ya Kiswahili,KIS.L,O,336,3,LANGUAGES,,,
,Arabic Language,ARA,O,337,3,LANGUAGES,,,
,Mathematics,MAT,O,456,4,MATHEMATICAL SUBJECTS,,,
,Additional Mathematics,AM,O,475,4,MATHEMATICAL SUBJECTS,,,
,General Science,GS,O,500,5,SCIENCE SUBJECTS,,,
,Agriculture: Principles & Practice.,AGRI,O,527,5,SCIENCE SUBJECTS,,,
,Physics,PHY,O,535,5,SCIENCE SUBJECTS,,,
,Chemistry,CHE,O,545,5,SCIENCE SUBJECTS,,,
,Biology,BIO,O,553,5,SCIENCE SUBJECTS,,,
,Art,ART,O,610,6,CULTURAL SUBJECTS AND OTHERS,,,
,Music,MUS,O,621,6,CULTURAL SUBJECTS AND OTHERS,,,
,Health Education,HE,O,631,6,CULTURAL SUBJECTS AND OTHERS,,,
,Clothing & Textile,CLO,O,652,6,CULTURAL SUBJECTS AND OTHERS,,,
,Foods & Nutrition,FN,O,662,6,CULTURAL SUBJECTS AND OTHERS,,,
,Home Management,HM,O,672,6,CULTURAL SUBJECTS AND OTHERS,,,
,Woodwork,WW,O,732,7,TECHNICAL SUBJECTS,,,
,Technical Drawing,TD,O,735,7,TECHNICAL SUBJECTS,,,
,Metalwork,MW,O,742,7,TECHNICAL SUBJECTS,,,
,Building Construction,BC,O,743,7,TECHNICAL SUBJECTS,,,
,Electricity & Electronics,E&E,O,751,7,TECHNICAL SUBJECTS,,,
,Power & Energy,P&E,O,752,7,TECHNICAL SUBJECTS,,,
,Commerce,COM,O,800,9,BUSINESS STUDIES,,,
,Principles of Accounts,ACC,O,810,9,BUSINESS STUDIES,,,
,Shorthand,SH,O,820,9,BUSINESS STUDIES,,,
,Typewriting,TW,O,831,9,BUSINESS STUDIES,,,
,Office Practice,OP,O,835,9,BUSINESS STUDIES,,,
,Computer Studies,CS,O,840,9,BUSINESS STUDIES,,,
,Entrepreneurship Skills,ENT.S,O,845,9,BUSINESS STUDIES,,,
